2017-12-26T12:09:07.923+0900 I NETWORK  [listener] connection accepted from 192.168.0.5:48146 #2 (1 connection now open)
2017-12-26T12:09:07.924+0900 I NETWORK  [conn2] end connection 192.168.0.5:48146 (0 connections now open)
2017-12-26T12:09:07.927+0900 I NETWORK  [listener] connection accepted from 192.168.0.5:48148 #3 (1 connection now open)
2017-12-26T12:09:07.927+0900 I NETWORK  [conn3] received client metadata from 192.168.0.5:48148 conn: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.0" }, os: { type: "Linux", name: "CentOS Linux release 7.4.1708 (Core) ", architecture: "x86_64", version: "Kernel 3.10.0-693.11.1.el7.x86_64" } }
2017-12-26T12:09:07.928+0900 I NETWORK  [listener] connection accepted from 192.168.0.5:48150 #4 (2 connections now open)
2017-12-26T12:09:07.928+0900 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to minschomongo01:27017
2017-12-26T12:09:07.928+0900 I NETWORK  [conn4] received client metadata from 192.168.0.5:48150 conn: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.0" }, os: { type: "Linux", name: "CentOS Linux release 7.4.1708 (Core) ", architecture: "x86_64", version: "Kernel 3.10.0-693.11.1.el7.x86_64" } }
2017-12-26T12:09:07.932+0900 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to minschomongo01:27017, took 4ms (1 connections now open to minschomongo01:27017)
2017-12-26T12:09:07.937+0900 I NETWORK  [listener] connection accepted from 192.168.0.9:60798 #5 (3 connections now open)
2017-12-26T12:09:07.938+0900 I NETWORK  [conn5] end connection 192.168.0.9:60798 (2 connections now open)
2017-12-26T12:09:07.940+0900 I NETWORK  [listener] connection accepted from 192.168.0.9:60800 #6 (3 connections now open)
2017-12-26T12:09:07.940+0900 I NETWORK  [conn6] received client metadata from 192.168.0.9:60800 conn: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.6.0" }, os: { type: "Linux", name: "CentOS Linux release 7.4.1708 (Core) ", architecture: "x86_64", version: "Kernel 3.10.0-693.11.1.el7.x86_64" } }
2017-12-26T12:09:07.940+0900 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to minschomongo02:27017
2017-12-26T12:09:07.941+0900 I STORAGE  [replexec-0] createCollection: local.system.replset with no UUID.
2017-12-26T12:09:07.943+0900 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to minschomongo02:27017, took 3ms (1 connections now open to minschomongo02:27017)
